date,adj close,close,high,low,open,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
7/9/2021,1810,1810,1810.099976,1798.800049,1803.599976,218,1790.557146,1830.400004,1790.832227,0.005779076,0.002403788,0.010263877,50.24396893,-13.22911757,-16.86173004,1867.994074,1728.60595
7/12/2021,1805.5,1805.5,1805.5,1799.5,1802.599976,147,1795.514282,1827.393339,1791.834448,-0.002486188,0.003325954,0.010262124,48.53643755,-11.45180832,-15.7797457,1854.409045,1735.000977
7/13/2021,1809.400024,1809.400024,1812,1800.599976,1808.099976,78,1800.299997,1824.290007,1793.047782,0.00216008,0.003333501,0.010240672,50.1186417,-9.617711567,-14.54733887,1843.137398,1740.812627
7/14/2021,1824.300049,1824.300049,1829,1813.099976,1813.099976,707,1806.25715,1821.670007,1794.451116,0.008234787,0.003947748,0.010393761,55.71978557,-6.882531688,-13.01437743,1835.582374,1745.347655
7/15/2021,1828.400024,1828.400024,1833,1823.400024,1831.599976,99,1811.242868,1819.033341,1796.125562,0.002247424,0.003756703,0.010391683,57.14575838,-4.334087501,-11.27831945,1825.795666,1752.024366
7/16/2021,1814.5,1814.5,1831.400024,1814.5,1830.099976,78,1813.10001,1817.143343,1797.21334,-0.007602288,0.00529854,0.009920276,51.13364382,-3.39688574,-9.702032706,1828.751012,1753.139015
7/19/2021,1808.699951,1808.699951,1813.400024,1803.300049,1803.300049,33,1814.400007,1814.440007,1798.182228,-0.0031965,0.00549774,0.00970948,48.82535867,-3.086581866,-8.378942538,1829.991502,1755.978518
7/20/2021,1810.900024,1810.900024,1824,1810.900024,1812.900024,128,1814.528582,1811.576672,1799.166672,0.001216384,0.005052304,0.009674819,49.75195811,-2.632787154,-7.229711461,1831.859005,1757.021013
7/21/2021,1802.900024,1802.900024,1807,1800,1807,135,1814.157157,1808.600008,1800.093339,-0.004417693,0.005264238,0.009688239,46.45787822,-2.885423353,-6.36085384,1832.39798,1759.142034
7/22/2021,1805,1805,1805,1793.599976,1793.599976,2,1813.528582,1805.66001,1800.938894,0.001164777,0.005203145,0.009693672,47.44160609,-2.882955959,-5.665274264,1833.198339,1760.61167
